ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
lagoon-sample2_59_0	338	1	339	lagoon-sample2_59	2544	-		root;cellular organisms;prokaryotes; (2157)	phage portal protein
lagoon-sample2_59_1	263	445	708	lagoon-sample2_59	2544	+		root; (1)	hypothetical protein
lagoon-sample2_59_2	221	705	926	lagoon-sample2_59	2544	-		root; (1)	hypothetical protein
lagoon-sample2_59_3	308	948	1256	lagoon-sample2_59	2544	-		root; (1)	hypothetical protein
lagoon-sample2_59_4	1301	1243	2544	lagoon-sample2_59	2544	-		root;cellular organisms;prokaryotes; (2157)	PBSX family phage terminase large subunit
lagoon-sample2_41_0	386	3	389	lagoon-sample2_41	632	+		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	pyruvate carboxyltransferase
lagoon-sample2_41_1	137	493	630	lagoon-sample2_41	632	+		root; (1)	hypothetical protein
lagoon-sample2_54_0	485	3	488	lagoon-sample2_54	489	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	phosphoribosylformylglycinamidine synthase
lagoon-sample2_67_0	1871	242	2113	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003; (57665)	MULTISPECIES: molecular chaperone HtpG
lagoon-sample2_67_1	659	2253	2912	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003;strain Phe91; (366522)	MULTISPECIES: 1-acyl-sn-glycerol-3-phosphate acyltransferase
lagoon-sample2_67_2	1106	2926	4032	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003;strain Phe91; (366522)	hypothetical protein
lagoon-sample2_67_3	671	4025	4696	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003; (57665)	MULTISPECIES: phosphoribosylformylglycinamidine synthase subunit PurQ
lagoon-sample2_67_4	245	4690	4935	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003; (57665)	phosphoribosylformylglycinamidine synthase subunit PurS
lagoon-sample2_67_5	713	4957	5670	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003; (57665)	phosphoribosylaminoimidazolesuccinocarboxamide synthase
lagoon-sample2_67_6	1343	5685	7028	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003;strain Phe91; (366522)	MULTISPECIES: S41 family peptidase
lagoon-sample2_67_7	2573	7256	9829	lagoon-sample2_67	12184	+		root; (1)	MULTISPECIES: AAA family ATPase
lagoon-sample2_67_8	425	9869	10294	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003;strain Phe91; (366522)	hypothetical protein
lagoon-sample2_67_9	440	10370	10810	lagoon-sample2_67	12184	+		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003;strain Phe91; (366522)	hypothetical protein
lagoon-sample2_67_10	497	10773	11270	lagoon-sample2_67	12184	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003;strain Phe91; (366522)	ribonuclease E activity regulator RraA
lagoon-sample2_67_11	407	11728	12135	lagoon-sample2_67	12184	+		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;not Epsilobacteria Cavalier-Smith 2002;Campylobacterales Garrity et al. 2006;Campylobacteraceae Vandamme and De Ley 1991;Sulfurospirillum Schumacher et al. 1993 emend. Luijten et al. 2003; (57665)	MULTISPECIES: methylaspartate mutase subunit S
lagoon-sample2_82_0	536	78	614	lagoon-sample2_82	615	-		root;cellular organisms;eukaryotes;opisthokonts;multicellular animals;Eumetazoa;Bilateria;deuterostomes;chordates;Craniata;vertebrates;jawed vertebrates;Teleostomi;bony vertebrates;Sarcopterygii;Dipnotetrapodomorpha;tetrapods;amniotes;sauropsids;diapsids;reptiles;squamates;split-tongued squamates;Unidentata;scincomorph lizards;skinks;Sphenomorphinae;Ristella Gray 1839; (245672)	ParB/RepB/Spo0J family partition protein
lagoon-sample2_23_0	164	1	165	lagoon-sample2_23	339	+		root; (1)	hypothetical protein
23_0_rRNA	0	4	339	lagoon-sample2_23	0	+		root; (1)	16S rRNA
lagoon-sample2_6_0	65	562	627	lagoon-sample2_6	629	+		root; (1)	hypothetical protein
6_0_rRNA	0	141	629	lagoon-sample2_6	0	+		root; (1)	16S rRNA
lagoon-sample2_56_0	839	3	842	lagoon-sample2_56	842	+		root; (1)	hypothetical protein
lagoon-sample2_4_0	926	387	1313	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_1	1976	1323	3299	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_2	449	3300	3749	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_3	1316	3820	5136	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_4	593	5133	5726	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_5	800	5813	6613	lagoon-sample2_4	11676	-		root; (1)	hypothetical protein
lagoon-sample2_4_6	200	6913	7113	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_7	1139	7106	8245	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_8	812	8238	9050	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_9	539	9064	9603	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_10	980	9603	10583	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
lagoon-sample2_4_11	233	10591	10824	lagoon-sample2_4	11676	-		root; (1)	hypothetical protein
lagoon-sample2_4_12	542	11026	11568	lagoon-sample2_4	11676	+		root; (1)	hypothetical protein
4_0_tRNA	73	73	146	lagoon-sample2_4	11676	+		root; (1)	tRNA-Met
4_1_tRNA	72	159	231	lagoon-sample2_4	11676	+		root; (1)	tRNA-Phe
lagoon-sample2_97_0	362	1	363	lagoon-sample2_97	465	+		root; (1)	hypothetical protein
lagoon-sample2_97_1	101	364	465	lagoon-sample2_97	465	+		root; (1)	hypothetical protein
lagoon-sample2_96_0	551	2	553	lagoon-sample2_96	775	+		root; (1)	# GT4 # bacteria #
lagoon-sample2_109_0	305	2	307	lagoon-sample2_109	307	+		root; (1)	hypothetical protein
lagoon-sample2_85_0	251	58	309	lagoon-sample2_85	309	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953; (186802)	ATP-binding protein
lagoon-sample2_49_0	302	2	304	lagoon-sample2_49	304	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+; (1239)	rRNA pseudouridine synthase
lagoon-sample2_47_0	707	3	710	lagoon-sample2_47	710	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953; (186802)	PTS sugar transporter subunit IIC
